ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1891-Songsf-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1891,Songs for the Harvest Field
1891-Soothi-EMU,Round,"Kansas City, MO",http://vocab.getty.edu/page/tgn/7013820,1891,Soothing Songs
1892-Gabrie-EMU,Round,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1892,Gabriel's Vineyard Songs
1892-Songso-EMU,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1892,Songs of the Covenant
1892-Womans-EMU,,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1892,The Woman's Hymnal
1892-Wordso-EMU,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1892,Words of Truth
1893-Epwort-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1893,Epworth Songs
1893-Harpof-EMU,Round;Seven-shape Hood,"Petersburg, VA",http://vocab.getty.edu/page/tgn/7022207,1893,Harp of Zion
1893-Hearts-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1893,Heart Songs
1893-Hymnso-EMU,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1891,Hymns of the Ages
1893-Inhisn-EMU,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1893,"In His Name, Series No. 1"
1893-Lifean-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1893,Life and Light
1893-McInto-EMU,Round,"Macon, GA",http://vocab.getty.edu/page/tgn/7013980,1893,McIntosh's Class and Chorus
1893-Messen-EMU,Round,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1893,The Messenger of Song
1893-Musicf-EMU,Round;Seven-shape Hood,"St. Louis,  MO",http://vocab.getty.edu/page/tgn/7014444,1893,Music for the Seventh International and Second World's Sunday School Conventions
1893-Psalms-EMU,Seven-shape Aikin,"Knoxville, Tenn.;Bridgewater, VA",http://vocab.getty.edu/page/tgn/7013841;http://vocab.getty.edu/page/tgn/2110776,1893,"Psalms, Hymns, and Spiritual Songs"
1894-Blosso-EMU,Round,"Dalton, GA;Dallas, TX;Huntingdon, PA",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2089462,1894,Blossoms of Song
1894-Bright-EMU,Round,"Vicksburg, MS",http://vocab.getty.edu/page/tgn/7018023,1894,Brightest Glory
1894-Crowni-EMU,Round,"Dalton, GA;Dallas, TX;Huntingdon, PA",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2089462,1894,Crowning Vocalist
1894-Lifean-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1894,Life and Light No. 2
1894-Reviva-EMU,Round,"Dalton, GA;Dallas, TX;Huntingdon, PA",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2089462,1894,The Revival Choir
1894-Select-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1894,Selections from the Book of Psalms
1895-Chris1-EMU,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1895,The Christian Hymnist
1895-Glowin-EMU,Seven-shape Aikin,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1895,Glowing Songs
1895-Gospe1-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596,1895,"Gospel Hymns, Nos. 1 to 6"
1895-Gospe2-EMU,Round,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1895,Gospel Gleaner
1897-Nation-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1895,National Gospel Voices
1897-Little-EMU,Round,"Atlanta, GA;Cincinnati, OH;Kansas City, MO",http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013820,1897,Little Light No. 2
