PID,ssdl:notation,location,Date,Long,Lati
1875-Devoti-EMU,Nil,"Richmond, VA",1875,-77.45,37.55
1875-Gospel-EMU,Round,"Cincinnati, OH",1875,-84.45,39.15
1876-Melodi-EMU,Seven-shape Funk,"Singers Glen, VA",1876,-78.9,38.55
1876-Storyo-EMU,Round,"London, United Kingdom",1876,.10203,51.52393
1877-Jasper-EMU,Round,"Cincinnati, OH
New York, NY",1877,-74,40.7
1877-Mornin-EMU,Round,"Cincinnati, OH;St. Louis, MO",1877,-84.45;-90.1833,39.15;38.6167
1877-Newmel-EMU,Seven-shape Aikin,"Dayton, VA",1877,-78.9333,38.4
1878-Golden-EMU,Round,"Cincinnati, OH",1878,-84.45,39.15
1878-Gospe1-EMU,Round,"Cincinnati, OH",1878,-84.45,39.15
1878-Gospe2-EMU,Round,"Cincinnati, OH",1878,-84.45,39.15
1878-Helpin-EMU,Round,"Cincinnati, OH",1878,-84.45,39.15
1878-Hymnal-EMU,Round,"Cincinnati, OH; New York, NY",1878,-84.45;-74,39.15;40.7
1878-Lastwo-EMU,Seven-shape Aikin,"Dayton, VA;Nashville, TN",1878,-78.9333;-86.761,38.4;36.154
1878-Revivi-EMU,Nil,"Lynchburg, VA",1878,0,0
1878-Tiding-EMU,Round,"Columbia, TN",1878,-87.0333,35.6
1879-Bapti2-EMU,Round,"Louisville, KY",1879,-85.75,38.25
1879-Primit-EMU,Round,"St. Louis, MO",1879,-90.1833,38.6167
1879-Sacred-EMU,Nil,"Chattanooga, TN",1879,-85.3,35.0333
1879-Songvi-EMU,Round,"Cincinnati, OH",1879,-84.45,39.15
1879-Wreath-EMU,Round,"New York, NY
Atlanta, GA",1879,-84.3833,33.7333
1880-Childr-EMU,Round,"Nashville, TN",1880,-86.761,36.154
1880-Hymnsx-EMU,Nil,"Baltimore, MD",1880,-76.6,39.2833
1880-Joyand-EMU,Round,"Cincinnati, OH",1880,-84.45,39.15
1880-Newhy1-EMU,Round,"Nashville, TN",1880,-86.761,36.154
1880-Newhy2-EMU,Nil,"Nashville, TN",1880,-86.761,36.154
1880-Songse-EMU,Round,"Cincinnati, OH",1880,-84.45,39.15
1912-Tribut-EMU,Seven-shape Aikin,"Atlanta, GA",1912,-84.3833,33.7333
1881-Evange-EMU,Round,"St. Charles, MO",1881,-90.4667,38.7833
1881-Himnar-EMU,Round,M??xico,1881,-102,23
1881-Redeem-EMU,Round,"Cincinnati, OH;New York, NY",1881,-84.45;-74,39.15;40.7
1881-Twilig-EMU,Round,"St. Louis, MO",1881,-90.1833,38.6167
1882-Gracea-EMU,Round,"Nashville, TN",1882,-86.761,36.154
1882-Juveni-EMU,Round,"Cincinnati, OH",1882,-84.45,39.15
1882-NewChr-EMU,Round,"Cincinnati, OH",1882,-84.45,39.15
1882-Psalms-EMU,Round,"Richmond, VA;New York, NY",1882,-77.45;-74,37.55;40.7
1882-Realmo-EMU,Round,"Cincinnati, OH;Chicago, IL",1882,-84.45;-87.65,39.15;41.85
1882-Singin-EMU,Round,"Cincinnati, OH",1882,-84.45,39.15
1883-Better-EMU,Round,"Cincinnati, OH",1883,-84.45,39.15
1883-Bookof-EMU,Round,"Richmond, VA",1883,-77.45,37.55
1883-Duplex-EMU,Round,"Richmond, VA",1883,-77.45,37.55
1883-Holyvo-EMU,Round,"Dayton, OH",1883,-84.1833,39.75
1883-Lovean-EMU,Seven-shape Aikin,"Savannah, GA",1883,-81.1,32.0833
1883-Purede-EMU,Round,"Cincinnati, OH",1883,-84.45,39.15
1883-Select-EMU,Round,"Richmond, VA",1883,-77.45,37.55
1883-Shaker-EMU,Round,"Shaker Village, NH",1883,-71.4833,43.35
1883-Songso-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO",1883,-84.45;-87.65;-90.1833,39.15;41.85;38.6167
1883-Teache-EMU,Round,"Cincinnati, OH;St. Louis, MO",1883,-84.45;-90.1833,39.15;38.6167
1883-Triune-EMU,Seven-shape Aikin,"Dayton, VA",1883,-78.9333,38.4
1883-Voiceo-EMU,Round,"Cincinnati, OH",1883,-84.45,39.15
1884-Congre-EMU,Numeral staff,"Cincinnati, OH",1883,-84.45,39.15
1884-Consol-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",1884,-84.45;-74;-87.65,39.15;40.7;41.85
